sistema;num_cicloe;calle_prin;calle_secu;colonia;alcaldia;latitud;longitud;sitio_de_e;estatus
Ecobici;372;Doctor Roberto Gayol;Tlacoquemecatl;Del Valle Sur;Benito Juarez;19.377.966;-99.170.272;Arroyo;Instalada
Ecobici;373;Pilares;Eje 2 Pte. Gabriel Mancera;Del valle Centro;Benito Juarez;19.377.932;-99.166.594;Arroyo;Instalada
Ecobici;374;Pitagoras;Pilares;Del valle Centro;Benito Juarez;19.376.918;-9.916.108;Arroyo;Instalada
Ecobici;375;Tenayuca;Av. Division del Norte;Letran Valle;Benito Juarez;19.376.997;-99.158.779;Arroyo;Instalada
Ecobici;377;Heriberto Frias;Miguel Laurent;Del Valle Sur;Benito Juarez;19.375.397;-99.163.778;Arroyo;Instalada
Ecobici;378;Miguel Laurent;Amores;Del Valle Sur;Benito Juarez;19.375.865;-99.168.219;Arroyo;Instalada
Ecobici;380;Moras;San Lorenzo;Tlacoquemecatl del Valle;Benito Juarez;19.374.756;-99.173.539;Arroyo;Instalada
Ecobici;381;San Lorenzo;Manzanas;Tlacoquemecatl del Valle;Benito Juarez;19.375.495;-99.177.819;Arroyo;Instalada
Ecobici;384;Empresa;Poussin;Insurgentes Mixcoac;Benito Juarez;19.375.865;-99.185.573;Arroyo;Instalada
Ecobici;385;Poussin;Empresa;Insurgentes Mixcoac;Benito Juarez;19.375.806;-99.185.527;Arroyo;Instalada
Ecobici;386;Poussin;Donatello;Insurgentes Mixcoac;Benito Juarez;19.374.912;-99.185.807;Arroyo;Instalada
Ecobici;387;Cadiz;Empresa;Insurgentes Mixcoac;Benito Juarez;19.374.267;-99.180.546;Arroyo;Instalada
Ecobici;389;Santander;Felix Cuevas;Insurgentes Mixcoac;Benito Juarez;19.373.438;-99.179.531;Arroyo;Instalada
Ecobici;392;Patricio Sanz;Felix Cuevas;Tlacoquemecatl del Valle;Benito Juarez;19.373.004;-99.174.764;Arroyo;Instalada
Ecobici;393;Adolfo Prieto;Felix Cuevas;Tlacoquemecatl del Valle;Benito Juarez;19.373.307;-99.172.471;Arroyo;Instalada
Ecobici;394;Doctor Roberto Gayol;Felix Cuevas;Del Valle Sur;Benito Juarez;19.372.474;-99.171.639;Arroyo;Instalada
Ecobici;395;San Lorenzo;Martin Mendalde;Del Valle Sur;Benito Juarez;19.373.725;-99.169.807;Arroyo;Instalada
Ecobici;396;Martin Mendalde;Felix Cuevas;Del Valle Sur;Benito Juarez;1.937.165;-9.917.015;Arroyo;Instalada
Ecobici;397;San Lorenzo;Eje 2 Pte. Gabriel Mancera;Del Valle Sur;Benito Juarez;19.373.112;-99.166.981;Arroyo;Instalada
Ecobici;398;Juan Sanchez Azcona;Felix Cuevas;Del Valle Sur;Benito Juarez;1.937.104;-99.165.653;Arroyo;Instalada
Ecobici;399;Heriberto Frias;San Lorenzo;Del Valle Sur;Benito Juarez;19.372.469;-99.164.538;Arroyo;Instalada
Ecobici;401;San Lorenzo;Av. Cuauhtemoc;Santa Cruz Atoyac;Benito Juarez;19.372.101;-99.161.501;Arroyo;Instalada
Ecobici;402;Uxmal;Municipio Libre;Santa Cruz Atoyac;Benito Juarez;19.370.957;-99.158.886;Arroyo;Instalada
Ecobici;404;Miguel Laurent;Av. Division del Norte;Portales Norte;Benito Juarez;19.373.833;-99.157.433;Arroyo;Instalada
Ecobici;405;Division del Norte;Municipio Libre;Portales Norte;Benito Juarez;193.705.556;-9.915.666.667;Banqueta;Instalada
Ecobici;407;Prolongacion Xochicalco;General Emiliano Zapata;Residencial Emperadores;Benito Juarez;19.367.209;-9.915.872;Arroyo;Instalada
Ecobici;409;Azores;Av. Division del Norte;Santa Cruz Atoyac;Benito Juarez;19.365.125;-99.155.477;Arroyo;Instalada
Ecobici;412;Parroquia;Av. Universidad;Santa Cruz Atoyac;Benito Juarez;19.368.107;-99.164.376;Arroyo;Instalada
Ecobici;413;Parroquia;Avenida Coyoacan;Centro Urbano Presidente Aleman;Benito Juarez;19.369.823;-99.172.164;Arroyo;Instalada
