Genero,Edad,Bici,Estacion salida,Estacion llegada,Duracion viaje en minutos
M,44.0,8899759,158-159,010,14.1
M,48.0,8332827,372,420,8.63
F,30.0,3702214,054,576,17.77
F,31.0,8399966,389,038,25.33
M,35.0,7781081,271-272,540,6.45
F,32.0,6294284,254,554,16.45
M,20.0,2619104,211,474,12.23
M,34.0,3465911,257,542,13.48
F,29.0,4424750,171,068,6.7
M,35.0,6277164,681,662,14.35
M,33.0,8013849,302,298,8.38
M,21.0,2945319,123,560,5.08
M,22.0,5137450,491,497,5.47
M,37.0,7988512,519,530,5.88
M,47.0,3302940,584,575,4.03
M,26.0,7475841,079,594,20.55
M,23.0,3102837,212,207,2.95
F,35.0,2135663,222,116,27.13
F,32.0,3772522,456,192-193,10.6
M,43.0,7632235,387,396,8.07
M,45.0,5914338,052,097,8.35
M,26.0,7920309,022,258,9.67
M,32.0,4093415,449,351,31.9
M,38.0,2705200,077,057,4.82
F,37.0,7624422,564,126,7.8
F,30.0,4996203,146,162,5.05
F,28.0,6685929,057,038,5.88
M,34.0,5947726,064,284,7.3
M,41.0,3795499,037,069,10.52
M,35.0,8232506,165,195,19.3
M,33.0,2746576,277,277,36.97
F,25.0,4459301,028,031,10.35
M,53.0,2522605,115,115,14.95
F,25.0,2684900,205,217,2.07
M,31.0,4716502,316,299,7.62
M,32.0,8810491,097,102,5.43
M,25.0,6560684,107-108,016,12.12
F,31.0,6121529,142,136,5.07
M,24.0,3127826,083,285,20.65
M,30.0,5076708,052,087,32.7
F,22.0,6330336,685,655,12.9
F,23.0,2010072,261,192-193,31.87
M,26.0,7319908,649,705,6.35
M,26.0,8243800,180,180,2.48
M,47.0,2269900,532,495,8.58
M,20.0,8014458,237-238,266-267,26.75
F,30.0,5374475,174,085,7.22
M,44.0,7764368,096,588,18.97
M,43.0,6996326,053,334,16.2
M,40.0,5667803,027,112,8.23
M,34.0,5657515,132,047,21.22
M,23.0,2233831,117,259,6.95
F,49.0,5489315,083,048,27.8
M,45.0,7583974,104,576,11.95
M,49.0,7239957,378,345,7.52
M,27.0,3758059,494,018,12.28
F,29.0,7853526,099,566,10.9
M,35.0,6959712,299,405,32.87
F,31.0,5933981,117,502,20.85
M,25.0,5950068,158-159,141,4.63
M,31.0,7795487,038,354,16.73
M,38.0,3039039,540,540,32.03
F,29.0,4139242,273-274,020,7.6
M,23.0,3193679,197,273-274,28.58
M,28.0,6803621,305,186,17.07
F,37.0,2755221,144,158-159,3.92
M,35.0,4579793,018,447,11.9
M,29.0,5687645,285,084,5.73
F,30.0,5959143,132,155,12.6
M,36.0,3871506,002,019,7.88
M,29.0,2154649,494,018,11.42
M,32.0,7864390,030,028,6.67
F,19.0,2572808,107-108,113,3.9
M,26.0,2425007,260,266-267,9.1
F,39.0,4631248,058,544,26.28
F,24.0,3346715,243,248,12.43
F,30.0,4478780,647,637,7.8
F,26.0,4979183,208,479,14.35
M,23.0,6089387,003,043,9.2
M,19.0,3193679,492,481,5.02
M,46.0,4601886,548,544,7.05
M,26.0,3035078,683,663,6.53
M,32.0,2538577,552,538,7.37
M,33.0,4284899,003,100,29.3
M,34.0,3493665,511,507,6.9
F,32.0,7077787,409,377,9.97
F,28.0,7478175,250,043,22.6
M,20.0,3746179,095,593,38.27
M,25.0,2268522,158-159,156,7.17
M,48.0,5590823,271-272,489,9.65
M,27.0,2829513,491,480,6.92
M,28.0,6028971,060,237-238,12.72
F,28.0,2182061,034,317,23.67
F,33.0,7195712,141,590,29.3
M,28.0,4073466,531,548,13.73
F,24.0,5914338,268-269,086,6.83
M,40.0,3735842,007,477,12.23
M,48.0,6242093,315,521,36.68
F,22.0,3393550,175,293,8.47
M,36.0,8168890,672,302,19.22
M,42.0,8630972,536,508,27.5
M,27.0,8568230,017,271-272,15.8
F,25.0,3895687,063,045,3.88
M,55.0,5038666,556,014,28.47
F,24.0,7165004,495,499,7.62
M,28.0,7917800,096,114,5.7
M,38.0,8210684,234,007,14.32
F,41.0,3312808,553,270,6.27
M,21.0,3265782,195,002,13.07
F,29.0,4910477,152,578,10.85
M,17.0,8813008,161,061,9.5
F,25.0,6167209,060,021,11.32
M,49.0,5072012,502,003,38.92
M,31.0,6803506,449,143,9.62
F,31.0,3778883,192-193,232,4.72
M,21.0,8869067,043,092,9.85
F,26.0,5740857,146,134,6.68
M,52.0,4258406,381,707,19.43
M,37.0,6960363,260,089,9.17
M,27.0,5612692,260,487,18.47
M,28.0,5670393,695,678,18.65
F,24.0,7056013,037,064,6.65
M,22.0,6835763,463,467,22.2
M,36.0,6569404,327,385,14.05
F,32.0,8432197,167,348,14.07
F,33.0,5362074,506,103,14.63
M,35.0,3579760,474,107-108,18.27
M,45.0,7918287,588,591,3.05
M,37.0,2880375,194,021,35.17
M,56.0,4637898,625,628,7.42
M,36.0,4544532,157,035,14.18
F,32.0,3285947,465,242,6.9
M,29.0,4241303,495,544,10.87
F,30.0,7486665,018,207,14.58
F,35.0,6668826,285,134,12.63
F,28.0,5362470,154,316,11.47
F,26.0,8943680,060,056,16.98
F,25.0,7420557,659,655,5.93
M,36.0,4032215,053,167,13.47
F,21.0,2659779,195,227,16.1
F,28.0,5742523,073,064,6.48
F,34.0,5375217,616,590,34.87
M,28.0,4199014,139,027,8.0
M,31.0,4259586,470,013,21.92
F,21.0,2986859,563,568,4.37
M,21.0,3591211,472,150,32.18
F,55.0,7135635,604,385,31.62
F,30.0,3700663,668,421,25.07
M,36.0,6293609,027,115,4.62
M,35.0,3059623,455,028,13.87
F,41.0,4277828,271-272,004,22.63
M,37.0,3878063,237-238,596,31.57
M,26.0,7490626,226,271-272,38.23
F,29.0,2228674,223,221,10.12
F,53.0,6237259,390-391,346,8.35
M,28.0,8188757,148,596,11.38
M,51.0,3038478,106,261,21.53
F,29.0,3178589,682,299,36.62
F,31.0,8178667,239,208,5.75
F,39.0,3966793,401,387,14.87
F,40.0,8241002,631,404,6.1
F,37.0,6570709,187,189,21.08
M,52.0,4840583,012,099,9.78
