Genero,Edad,Bici,Estacion salida,Estacion llegada,Duracion viaje en minutos
M,38.0,8198335,219,211,9.23
M,31.0,7522154,375,370,11.53
M,55.0,3238094,241,235-236,7.35
M,49.0,2339778,302,588,27.32
M,28.0,8715864,132,059,7.27
F,22.0,2035558,120,124,10.28
M,50.0,2213866,124,123,10.15
M,20.0,2354306,358,397,4.45
M,42.0,3155694,055,102,5.7
M,35.0,4903290,584,587,11.23
M,29.0,2854784,121,016,4.98
F,35.0,7206097,053,447,3.18
F,23.0,4248225,092,099,28.73
M,31.0,7739436,185,206,32.02
M,30.0,2503175,649,708,7.18
M,41.0,8719155,237-238,471,38.77
M,40.0,2390441,035,158-159,18.5
M,41.0,2778637,015,486,12.15
F,38.0,7349301,282,134,18.23
F,38.0,4450334,489,492,4.33
F,44.0,8891335,258,220,25.07
M,33.0,5279286,608,612,4.63
M,26.0,4569505,149,615,16.4
M,32.0,2677235,140,276,7.23
M,45.0,2235034,271-272,273-274,1.2
M,41.0,5098314,385,378,8.65
F,27.0,8182768,464,465,5.97
F,44.0,2191161,166,603,27.27
M,23.0,6487235,633,610,7.02
M,53.0,3798261,154,092,30.67
F,24.0,4186763,495,020,17.02
M,27.0,5587209,316,295,9.23
F,38.0,8463382,007,449,6.43
F,32.0,3138468,495,548,14.87
M,38.0,5897012,211,246,6.65
M,36.0,4129417,208,084,38.9
M,26.0,6697718,575,576,3.05
F,32.0,7202880,007,023,28.55
M,35.0,5489315,116,107-108,4.62
M,26.0,7362981,148,164,9.97
M,37.0,6320758,675,417,12.67
M,42.0,2880862,489,492,3.88
M,22.0,8781346,052,072,37.92
M,47.0,8138463,321,611,7.38
M,28.0,3356664,230,240,7.82
M,27.0,6464390,126,107-108,17.22
F,39.0,7970668,155,069,7.83
M,49.0,6929806,561,095,21.63
M,32.0,4220430,212,474,13.28
M,29.0,8664021,492,490,9.32
M,27.0,2195675,594,134,15.5
M,32.0,8883621,481,201,7.77
M,30.0,3432689,389,335,8.27
M,30.0,7517428,464,237-238,11.25
M,24.0,5489315,487,347,29.98
M,27.0,6201263,179,290,6.27
M,34.0,3759222,348,134,18.92
M,31.0,6130975,141,134,19.75
F,33.0,7974850,051,068,7.67
F,41.0,3622859,360,343,3.77
M,28.0,7990492,183,018,5.68
M,21.0,2483360,325,402,16.52
M,39.0,8277634,622,407,11.95
M,48.0,3077815,667,332,23.52
F,29.0,7366776,600,595,5.22
F,43.0,3625225,492,482,5.58
M,31.0,4224028,474,052,21.88
M,28.0,8653347,606,596,8.67
M,26.0,5841580,318,032,18.13
M,27.0,6963508,075,084,17.35
F,42.0,5592050,182,292,4.92
M,35.0,3674447,134,163,14.67
M,36.0,3521390,043,043,18.13
F,29.0,8900367,198,072,28.93
M,34.0,5310842,172,669,26.5
M,30.0,3753779,219,467,14.4
M,41.0,4145306,378,298,9.73
M,27.0,7516792,711,014,9.33
M,23.0,3702347,048,142,24.23
M,23.0,5403621,608,062,26.5
F,34.0,6009724,549,255,7.9
M,31.0,5485503,696,593,26.67
M,21.0,5827811,237-238,008,27.63
M,22.0,7896111,516,516,31.0
M,27.0,5498035,037,059,6.08
M,46.0,7970668,174,111,3.63
F,35.0,3710449,271-272,038,18.98
M,25.0,3959129,232,152,17.58
M,36.0,5840202,574,110,8.15
M,29.0,3540051,270,014,15.8
M,30.0,5183173,180,361,14.42
M,33.0,7401482,229,220,24.75
M,31.0,7206097,237-238,029,21.22
F,40.0,2074466,069,143,7.3
F,23.0,5760079,037,154,11.32
M,37.0,7665466,142,345,17.88
M,43.0,6167589,042,128,4.83
F,52.0,5443106,079,129,9.18
M,38.0,6419840,141,158-159,4.23
F,29.0,2242345,688,685,7.53
F,39.0,7119878,032,194,37.28
F,54.0,4860664,131,127,8.18
M,24.0,4672192,470,243,10.6
M,37.0,2800118,224,096,29.02
F,26.0,6484430,529,549,21.38
M,36.0,5612692,002,253,10.38
F,24.0,8258964,185,184,22.58
F,32.0,8835050,392,372,8.7
M,32.0,7632235,503,459,36.9
M,25.0,3880440,185,711,39.33
F,26.0,7071194,621,377,13.77
F,38.0,2361822,006,208,26.23
M,21.0,6360325,107-108,126,7.03
F,28.0,7662851,070,072,7.57
F,24.0,8247744,152,030,13.98
M,31.0,2457497,211,249,5.95
M,31.0,5866421,053,019,16.42
F,31.0,8606865,165,145,8.62
M,32.0,6584080,361,618,18.42
M,27.0,7614100,192-193,271-272,24.08
F,28.0,4687448,247,299,28.67
M,43.0,4140414,393,056,22.6
M,24.0,6448351,070,271-272,15.75
F,23.0,7490626,194,223,9.7
F,32.0,3717808,303,668,34.73
O,23.0,5860846,555,494,9.82
F,28.0,6271514,548,539,6.75
M,41.0,8761751,035,557,14.25
M,31.0,8886798,222,292,36.73
M,23.0,3004546,337,167,19.08
M,37.0,4034310,700,660,11.27
M,31.0,5654082,207,086,13.67
O,33.0,3389517,142,142,15.93
O,51.0,4507935,318,288,17.45
M,29.0,5873153,026,001,8.9
M,40.0,4466728,542,555,8.08
F,57.0,4137782,253,194,3.07
M,22.0,3341104,246,205,11.27
M,34.0,6231864,204,158-159,29.72
M,38.0,6385702,448,096,33.47
F,38.0,6189724,154,683,34.22
F,21.0,8087835,195,214,16.68
M,27.0,5566179,151,134,13.67
F,30.0,6500573,121,570,21.17
F,34.0,5725791,184,138,21.68
M,30.0,7398381,440,397,8.67
M,36.0,2738243,494,498,5.18
F,34.0,5386628,112,034,10.58
M,38.0,7106503,313,377,12.18
M,18.0,2051415,145,066,10.42
M,24.0,5013248,522,513,10.52
M,24.0,5871207,494,468,12.05
F,29.0,3555224,449,047,11.82
F,43.0,6637995,046,053,12.95
F,25.0,6811509,067,133,11.97
M,38.0,4172102,084,059,5.68
M,39.0,7599459,240,208,12.28
M,53.0,4638698,482,505,7.6
M,33.0,2656940,630,405,4.47
M,31.0,7644271,183,555,6.78
M,25.0,3983178,210,460,7.07
F,44.0,7659048,100,100,11.8
F,22.0,8188757,495,474,8.93
M,57.0,7954696,068,125,15.83
M,30.0,2277713,492,534,7.25
M,24.0,6601975,152,050,8.5
M,22.0,8762064,120,123,4.03
F,22.0,4144390,662,386,12.73
M,26.0,3868775,593,180,12.07
M,21.0,6868079,549,495,5.7
M,25.0,6015309,576,133,7.85
M,26.0,6021588,052,098,13.52
F,31.0,6069165,283,596,6.9
F,56.0,5578190,053,190,6.35
M,52.0,5333612,502,533,7.52
M,27.0,8828626,237-238,195,16.1
F,23.0,3073483,555,553,4.2
O,26.0,6667141,143,041,18.08
M,33.0,4032355,307,224,28.08
M,24.0,4250031,492,497,6.8
O,20.0,8463028,011,023,32.17
O,29.0,3076726,561,168,22.97
M,49.0,8471336,244,197,5.32
M,31.0,2211902,327,304,5.35
M,30.0,4515995,140,130,2.57
M,24.0,3284650,549,018,9.95
F,27.0,6173587,072,459,23.8
M,24.0,7225089,693,660,5.65
M,32.0,7727027,116,107-108,4.6
O,44.0,8346645,072,384,33.38
M,38.0,5327903,667,605,31.93
M,30.0,8638371,015,194,34.07
M,34.0,2288678,461,485,20.32
F,47.0,3493665,302,302,19.6
F,30.0,4156212,096,019,10.48
M,32.0,8943250,068,050,4.43
M,49.0,5472956,480,479,3.3
M,38.0,5119219,682,679,3.73
M,26.0,3348794,162,546,34.42
M,39.0,2205839,060,066,1.85
M,27.0,8207227,178,046,8.07
M,35.0,8277717,237-238,175,28.58
M,27.0,2535854,354,335,11.55
M,23.0,2740868,389,326,8.13
M,24.0,7032550,139,303,12.38
M,25.0,5503115,147,558,12.97
M,24.0,2067387,250,077,13.9
M,41.0,5592050,174,006,8.4
M,26.0,7109689,018,023,36.07
O,34.0,2862027,243,494,11.67
F,37.0,2349181,208,201,4.52
M,40.0,6997522,080,337,17.2
M,32.0,6801468,029,107-108,7.87
F,18.0,8726630,494,499,6.78
M,26.0,5555115,664,663,1.62
M,49.0,3128147,624,621,6.23
M,32.0,8830036,113,048,13.27
O,31.0,2115178,549,544,5.05
M,38.0,8908451,114,085,9.08
F,35.0,7133929,643,621,17.73
F,27.0,4209540,468,142,24.63
M,40.0,2535045,106,271-272,23.55
M,26.0,6897698,319,631,14.73
F,35.0,3854742,654,684,17.42
M,36.0,3672490,149,133,9.22
M,51.0,2633568,353,333,4.18
M,25.0,4741419,027,555,11.62
M,27.0,6231930,599,600,3.27
M,35.0,5470349,456,326,35.3
M,22.0,3742533,001,271-272,14.52
M,41.0,3302940,084,143,8.87
M,23.0,4593042,041,200,28.8
M,36.0,4903290,188,360,22.2
M,30.0,5742572,430,377,12.33
M,37.0,7913817,540,568,27.47
M,30.0,3391984,510,533,5.53
F,30.0,4275228,670,668,2.22
M,31.0,7475841,279,599,9.58
F,32.0,3756111,155,584,13.63
O,37.0,2053981,494,475,9.92
M,30.0,3144474,302,602,20.43
F,24.0,6784052,419,398,8.25
F,35.0,2153351,146,565,11.37
M,25.0,8680779,233,590,34.85
M,30.0,7908049,306,045,11.85
F,25.0,4140356,139,570,18.18
M,33.0,2449668,630,623,5.42
M,28.0,8422420,003,015,6.7
M,30.0,7556962,298,396,15.25
M,49.0,8116121,432,039,28.9
F,42.0,2268589,014,080,15.6
M,31.0,6967772,597,612,14.95
M,34.0,8184541,058,022,16.03
F,33.0,4724290,260,107-108,10.95
M,34.0,3305174,457,030,20.28
M,26.0,6237226,644,638,6.07
M,25.0,5755251,683,686,6.13
M,31.0,4204046,392,614,32.27
M,37.0,5128335,102,106,10.88
M,42.0,7853526,058,182,6.97
M,23.0,2240679,461,196,7.8
F,25.0,2005916,625,596,10.82
M,29.0,6065163,154,008,13.88
O,30.0,2920619,343,018,19.08
M,39.0,4492914,393,334,10.08
O,36.0,2202455,299,142,15.78
M,26.0,5491709,056,056,23.1
F,30.0,5860952,420,421,31.22
M,31.0,6143341,333,305,6.57
M,34.0,2535045,041,010,6.22
M,32.0,8337123,481,224,13.1
M,25.0,3852498,123,237-238,24.83
F,28.0,8754855,036,066,11.17
F,20.0,5421227,127,564,12.43
M,28.0,5692785,594,294,9.13
F,30.0,3076726,219,466,14.6
M,35.0,7099732,028,126,21.02
M,35.0,7110539,490,045,21.37
M,33.0,3736717,378,354,6.88
M,30.0,5649975,464,004,25.5
F,37.0,3819448,522,530,6.23
M,32.0,8843427,045,249,8.57
M,45.0,6560684,632,395,12.22
F,32.0,2409878,033,043,13.33
F,22.0,3144474,552,494,22.08
M,33.0,5449988,017,183,8.23
M,27.0,8698615,300,304,4.72
F,37.0,7509391,115,539,19.5
F,33.0,5474846,293,152,11.78
F,41.0,5874391,103,120,17.8
M,28.0,3654316,502,510,6.28
F,24.0,7339336,384,680,10.13
M,42.0,7772783,563,562,7.37
M,47.0,2980480,556,015,31.65
M,25.0,8377038,182,385,18.75
M,42.0,7730161,277,710,28.98
M,39.0,4706925,546,560,27.02
M,23.0,3998580,151,073,20.5
M,29.0,3506920,005,552,9.93
M,38.0,4583050,188,184,5.62
F,27.0,3347085,555,263,4.97
M,30.0,2412724,281,319,4.68
M,19.0,7738578,467,249,19.93
M,52.0,4924056,012,543,12.03
M,34.0,2773000,373,160,32.92
M,41.0,2778249,083,152,4.97
F,28.0,3222163,065,552,18.3
M,28.0,6087712,031,038,7.13
M,29.0,7345192,449,190,11.72
M,41.0,2031300,389,363,8.48
M,19.0,6170450,492,498,8.97
F,38.0,5156211,158-159,143,7.2
M,55.0,6773881,117,028,10.93
F,31.0,5579917,495,498,10.03
M,31.0,6050678,210,242,7.5
M,23.0,4932083,045,045,5.67
M,20.0,2611903,139,164,13.35
F,27.0,3080736,136,028,12.6
F,33.0,4739777,280,614,17.32
M,30.0,3154572,709,649,6.22
M,37.0,6772065,476,478,5.2
F,32.0,2994655,058,046,3.72
M,25.0,6004162,398,402,3.75
M,37.0,6754030,047,039,3.37
M,35.0,4823217,595,430,20.85
M,33.0,6969497,055,126,20.62
M,36.0,4256491,443,442,3.0
F,28.0,4439329,295,688,38.88
M,30.0,7297831,337,337,26.25
F,24.0,2802429,402,629,3.85
F,32.0,5830336,460,540,32.65
M,24.0,2165389,119,642,31.18
F,22.0,2909042,001,133,16.27
F,34.0,3490083,068,150,10.92
M,52.0,6170450,323,001,20.52
M,40.0,6692230,255,006,9.65
M,41.0,4437547,096,130,19.27
M,43.0,6768493,631,633,1.73
M,36.0,5214762,370,593,21.3
M,47.0,5729280,378,302,30.15
M,31.0,8110397,081,273-274,26.87
F,32.0,7828528,104,250,37.08
M,25.0,2033892,359,389,11.37
M,40.0,6285878,102,250,25.78
F,28.0,8577694,475,555,17.82
F,33.0,8482077,474,125,17.67
F,27.0,6577605,078,270,37.27
M,22.0,3350626,644,618,10.6
M,36.0,2794865,126,132,3.72
M,29.0,7996309,595,617,9.88
M,37.0,7814569,321,618,7.3
M,48.0,6190292,560,115,21.47
M,45.0,5872387,182,369,25.03
M,28.0,8504300,359,356,4.37
F,25.0,8452468,225,028,10.45
M,50.0,5390240,549,148,21.2
M,38.0,5364088,548,529,15.82
F,29.0,6128318,357,377,5.8
M,32.0,7100746,345,412,31.83
F,36.0,3104445,110,142,22.42
M,50.0,3687266,487,012,8.05
M,32.0,8471336,553,513,28.57
M,35.0,8630741,026,149,13.22
F,38.0,4808895,689,692,4.2
M,26.0,6206304,638,430,5.65
F,24.0,2452456,132,560,13.53
M,28.0,5171087,047,158-159,9.88
M,36.0,8454787,373,404,9.9
M,39.0,8052714,476,024,16.03
M,38.0,5943147,144,298,15.77
F,26.0,3966611,253,160,19.63
M,21.0,2913218,036,303,11.78
F,30.0,7290620,538,150,25.62
O,25.0,6677561,442,682,17.47
M,49.0,5017173,287,170,30.97
M,23.0,6489280,259,003,7.98
O,24.0,4421376,116,254,15.62
M,52.0,3948155,230,052,38.43
F,27.0,6938872,566,568,5.75
M,32.0,2293371,396,366,7.98
M,29.0,4766556,556,262,9.07
M,48.0,3257946,398,357,19.37
M,31.0,4421772,690,675,15.58
M,36.0,6352850,113,097,10.65
M,41.0,4798567,321,316,7.23
F,27.0,4245601,469,010,14.48
M,32.0,8941361,334,284,5.62
M,29.0,2887420,127,134,3.55
F,24.0,7504061,463,453,30.4
M,23.0,7599129,242,182,31.65
M,32.0,7381114,428,640,11.22
O,27.0,8718603,485,174,9.37
F,32.0,6401327,187,113,21.5
M,28.0,6299382,107-108,548,26.55
M,22.0,5667878,014,268-269,29.25
M,49.0,5741616,389,292,23.02
M,29.0,5068044,556,092,9.28
F,31.0,5879978,188,030,20.47
M,28.0,5824883,484,086,19.45
M,55.0,4628491,027,257,5.63
M,44.0,4718896,440,667,12.5
F,31.0,5322987,040,131,8.7
M,26.0,3743234,513,522,11.7
M,31.0,4748398,053,191,11.57
M,38.0,2262582,285,130,14.37
M,51.0,4212700,627,191,24.75
M,32.0,4630224,502,522,18.27
M,24.0,2619104,322,296,3.28
M,47.0,5478714,471,205,5.65
M,51.0,7131790,603,609,6.4
M,42.0,2251189,540,555,9.15
M,34.0,4773446,455,029,25.07
F,43.0,6182000,448,520,30.67
M,43.0,3662780,007,399,33.58
F,36.0,4843504,028,271-272,36.92
F,42.0,3812344,187,258,6.58
M,42.0,4822292,211,251,12.37
M,26.0,2566289,614,389,22.68
M,30.0,6158471,301,442,22.73
F,36.0,2656817,539,002,17.25
M,32.0,4787792,167,582,33.42
M,37.0,6469738,561,056,14.63
M,31.0,7665623,305,169,5.32
M,52.0,6358816,273-274,231,23.42
M,38.0,6206742,600,282,19.67
M,32.0,4295879,448,018,11.67
M,21.0,3049277,600,280,34.22
M,34.0,4547691,208,197,10.73
M,23.0,4699252,491,493,3.9
F,45.0,8630519,644,643,2.2
M,40.0,4785382,158-159,151,4.87
M,30.0,3920030,142,142,17.65
F,30.0,6814115,617,045,30.0
M,35.0,5535802,546,087,24.85
F,28.0,2294403,192-193,239,5.63
F,37.0,2854842,042,059,7.38
M,46.0,7253339,011,188,24.78
F,33.0,3380177,206,045,31.57
M,41.0,4154332,087,026,8.18
M,31.0,8843658,025,711,19.4
F,31.0,4359097,222,043,35.37
M,23.0,3580511,023,052,14.08
M,31.0,4203063,117,107-108,5.15
M,28.0,2102010,167,387,18.17
M,37.0,6977201,085,449,12.65
M,27.0,4134995,355,393,6.62
M,25.0,4843504,068,077,4.53
M,51.0,3453693,428,443,16.25
M,57.0,2101053,056,171,16.15
M,28.0,8438061,235-236,123,34.07
M,41.0,5323241,052,266-267,6.92
M,23.0,2570661,300,599,10.07
M,33.0,4463212,392,375,8.67
M,24.0,8540387,359,687,25.77
M,26.0,8014300,068,310,18.17
F,29.0,7622137,320,338,6.8
M,33.0,8486987,694,398,18.78
M,34.0,2089191,156,294,12.23
F,28.0,3283272,139,242,36.73
M,28.0,7253339,330,059,13.13
M,33.0,4377784,555,479,16.77
M,40.0,7010580,142,301,13.32
M,27.0,6358816,296,295,6.83
F,30.0,4277828,102,144,15.0
M,34.0,5278734,656,685,17.52
M,31.0,8146177,331,073,14.65
F,21.0,5807987,295,148,29.6
M,47.0,2712495,291,323,5.1
M,32.0,4745980,027,486,7.63
F,38.0,8454738,076,165,9.73
M,28.0,5724729,253,061,20.53
F,26.0,7325723,693,440,10.08
M,28.0,7459423,271-272,232,34.15
M,27.0,3193372,001,027,6.17
M,26.0,5664396,498,548,9.3
M,33.0,3128998,212,197,14.33
F,30.0,5488192,475,270,22.18
M,40.0,7859242,221,244,26.52
M,21.0,8369381,582,560,12.3
M,21.0,6304703,359,357,4.33
F,31.0,7994932,252,017,14.7
M,24.0,2637403,005,014,14.07
M,19.0,4351136,186,186,22.37
M,27.0,4206082,016,107-108,12.83
M,29.0,7989494,163,134,5.18
M,31.0,6209225,136,595,12.65
F,24.0,5722889,150,147,3.53
F,29.0,4714937,005,005,14.35
O,37.0,3256435,554,020,7.28
M,41.0,3746518,660,131,29.33
F,33.0,4667051,261,107-108,23.92
M,31.0,3731882,031,226,12.87
F,40.0,7235690,195,472,15.65
F,28.0,8183386,194,066,22.15
M,36.0,8020364,597,296,12.65
M,43.0,8907867,565,256,17.47
M,30.0,5994223,132,056,6.37
F,44.0,4352738,316,292,8.97
F,24.0,7528870,118,082,14.43
M,33.0,2454718,471,183,6.77
M,50.0,7568736,247,103,20.78
M,34.0,7217730,176,473,13.77
M,40.0,6259758,187,001,17.7
M,20.0,3278702,210,218,3.38
M,45.0,5474614,545,015,15.62
F,27.0,2073567,030,042,6.97
F,25.0,4154332,110,107-108,5.07
M,21.0,2854842,228,365,25.48
M,34.0,2837102,135,213,38.62
M,27.0,4628186,624,628,6.6
M,37.0,7961642,582,572,8.68
M,23.0,3071776,052,487,16.9
M,34.0,7184765,036,151,14.57
M,24.0,7561962,270,017,11.83
M,32.0,3208329,630,351,17.55
F,31.0,5045133,160,018,8.9
F,31.0,3806627,106,102,6.33
M,34.0,5700265,219,175,27.78
M,31.0,3689510,582,585,16.5
M,41.0,6917355,324,283,14.82
M,28.0,8583502,163,070,10.28
M,35.0,3866258,210,214,5.77
M,43.0,7277221,210,242,5.85
F,29.0,3991601,260,195,39.07
F,28.0,7616832,404,067,29.13
F,37.0,8397085,025,099,16.9
F,27.0,6769590,212,201,3.63
M,39.0,2033587,209,197,19.18
F,47.0,3798972,208,292,37.17
M,21.0,3145893,158-159,142,5.75
M,34.0,2330363,271-272,019,8.65
M,48.0,4094140,107-108,011,8.12
M,27.0,2606861,509,457,31.07
M,30.0,5993365,054,102,27.35
M,33.0,7195712,018,189,34.58
M,28.0,2322824,046,078,31.93
M,39.0,3413523,353,113,33.05
M,31.0,4981874,160,018,8.38
F,30.0,7644685,152,206,32.37
M,31.0,8104598,005,005,2.5
F,33.0,5441555,644,631,8.37
M,34.0,4364154,644,638,6.92
M,35.0,8655557,028,129,4.82
M,20.0,6493407,476,476,15.1
M,45.0,3802600,271-272,553,5.83
O,28.0,8516676,119,256,16.67
M,26.0,2846251,062,182,7.12
F,27.0,2666717,154,128,14.22
M,25.0,2241156,024,271-272,17.05
M,32.0,2661270,398,407,36.73
F,49.0,8872343,470,553,17.58
M,26.0,4795852,064,037,4.88
M,37.0,3002144,339,296,3.92
M,25.0,4968293,402,645,8.08
M,26.0,3811916,031,250,13.57
M,51.0,5512140,088,048,13.12
M,27.0,8239691,064,034,10.48
M,40.0,4046447,043,111,19.87
F,26.0,4437547,287,325,14.87
M,41.0,4529020,359,024,27.68
F,40.0,4751137,331,398,27.1
M,50.0,4123485,059,053,9.48
F,22.0,8969958,248,296,36.27
F,25.0,4750899,096,498,29.95
M,45.0,3271806,257,271-272,33.7
M,28.0,3901626,240,005,27.1
F,40.0,5849245,059,079,9.12
M,28.0,6368211,064,041,22.43
M,44.0,3114527,017,545,12.72
M,50.0,8241002,074,074,11.4
M,27.0,7042450,485,054,14.75
M,29.0,3549805,014,107-108,14.28
F,43.0,4074175,017,181,12.58
M,28.0,7647787,053,168,8.78
F,53.0,4189627,332,329,4.15
M,27.0,8626061,028,271-272,15.88
O,23.0,2017374,466,463,8.18
F,30.0,2828044,010,270,33.97
F,31.0,6576714,405,635,11.88
M,26.0,6146625,137,025,11.87
M,43.0,7320302,114,058,13.05
M,23.0,3991262,290,548,30.83
M,23.0,2235042,036,568,16.62
M,26.0,2081214,558,117,15.73
F,30.0,8415416,369,363,6.63
M,34.0,8114605,625,631,3.83
M,33.0,2275485,171,177,6.32
F,28.0,4981874,059,182,10.38
M,22.0,6501944,473,555,11.32
M,31.0,2892123,186,077,8.62
M,23.0,5788211,107-108,134,8.2
M,36.0,8689127,266-267,141,14.2
F,24.0,4101788,016,217,17.5
M,35.0,5727698,322,281,7.68
F,55.0,8142721,555,546,12.72
F,46.0,8923708,317,358,17.03
M,30.0,3106879,301,271-272,27.23
M,24.0,8622441,025,181,23.65
M,47.0,6971667,137,326,24.77
M,31.0,4716692,001,095,18.88
M,27.0,6677561,049,045,3.1
F,22.0,5003553,013,014,35.5
F,29.0,3499332,011,174,7.77
M,38.0,6820724,242,271-272,30.02
M,39.0,5779632,363,354,3.38
M,23.0,5093430,361,345,3.52
M,27.0,8874398,479,494,7.53
M,37.0,4096111,045,056,4.33
M,21.0,6247423,497,499,3.17
F,26.0,3257946,204,077,30.48
M,22.0,8759128,494,486,4.08
M,46.0,6057236,539,548,5.88
M,19.0,3403607,502,529,11.53
M,47.0,6823843,041,555,10.05
M,28.0,7984727,281,594,3.35
F,33.0,2944932,192-193,079,24.77
M,48.0,5477849,532,501,4.93
M,33.0,2898237,031,271-272,7.73
F,37.0,6045165,298,341,10.3
M,39.0,8512808,273-274,554,20.97
F,50.0,8216103,580,561,10.02
F,38.0,4089405,704,643,13.67
M,30.0,4143772,019,257,8.12
M,33.0,6395628,011,255,12.5
M,27.0,4465720,173,041,24.47
M,22.0,5959143,043,017,21.33
O,28.0,2946192,168,299,13.45
F,29.0,4085999,038,057,6.33
F,41.0,5879978,294,326,12.37
M,31.0,3073483,182,626,16.43
M,37.0,2741791,242,028,28.7
M,26.0,6029524,228,130,22.03
F,47.0,4262424,464,221,7.23
M,29.0,2719276,062,060,25.32
M,36.0,5362579,033,279,15.1
F,26.0,7761596,357,390-391,12.58
M,55.0,7835721,255,255,21.08
M,48.0,3736717,150,136,7.98
M,31.0,3787082,266-267,483,15.08
F,30.0,8866824,457,464,17.93
F,29.0,7841836,226,629,35.62
F,31.0,2963056,028,270,23.85
F,29.0,5955638,181,142,18.55
M,36.0,8268849,397,627,15.88
M,43.0,4180899,412,427,2.02
F,25.0,5667803,257,014,11.57
F,26.0,8870065,372,276,19.03
F,31.0,3260346,668,302,15.15
M,19.0,4798567,399,378,4.52
M,41.0,8020364,155,009,12.87
M,29.0,6736060,019,052,16.23
M,29.0,5045133,290,014,16.45
M,39.0,8908717,123,271-272,16.65
M,22.0,2196806,331,316,6.77
M,38.0,3635075,675,390-391,11.1
M,40.0,3826492,189,182,9.97
M,25.0,4263539,029,031,12.5
F,24.0,2303006,237-238,264-275,25.9
M,23.0,3756111,315,389,9.78
M,28.0,4402327,003,271-272,6.37
M,50.0,6491914,001,270,10.28
F,21.0,3968799,169,166,9.15
M,47.0,4123451,042,027,7.4
M,23.0,2344901,052,015,14.15
F,30.0,5280201,386,389,4.33
M,47.0,7779804,471,271-272,13.6
O,22.0,7243488,504,477,7.32
M,31.0,6977201,432,402,7.78
M,53.0,2000776,258,081,6.98
M,38.0,2540946,271-272,118,10.7
M,19.0,6057236,547,498,9.53
M,30.0,2129716,317,317,28.8
M,25.0,5599311,021,027,7.37
M,26.0,4741088,154,316,8.25
M,32.0,5472709,064,054,3.78
M,39.0,5352661,168,285,9.58
M,47.0,3627395,027,096,9.85
M,36.0,8316994,175,306,5.85
F,46.0,3376803,085,174,5.75
M,38.0,7234008,185,177,4.47
F,34.0,5947247,114,305,22.93
M,25.0,7756554,531,514,12.72
M,46.0,6924450,059,165,9.08
M,33.0,2977098,197,237-238,25.25
F,33.0,8032229,194,467,12.68
M,29.0,2708394,271-272,123,17.75
F,51.0,2286797,654,703,6.02
F,33.0,5366257,326,019,26.32
M,36.0,5593918,167,074,6.75
F,31.0,2837821,646,412,13.08
M,30.0,6271514,143,114,16.3
M,27.0,7504061,086,474,28.18
M,40.0,6779011,317,339,4.77
F,30.0,7951155,309,285,4.15
M,23.0,6668644,031,191,31.03
M,34.0,2002400,481,505,4.07
M,22.0,4086674,684,649,27.65
M,26.0,7388713,107-108,135,8.98
F,51.0,2693570,599,277,8.97
M,30.0,8310591,145,128,18.9
M,30.0,8410391,508,209,34.13
M,21.0,8175531,615,621,11.7
M,40.0,6845499,169,181,2.38
M,51.0,6715320,459,186,23.2
M,21.0,2528081,033,117,18.32
F,32.0,2191161,049,064,6.78
M,25.0,2304210,021,020,10.58
M,20.0,7630767,502,503,2.12
F,27.0,2528685,094,043,11.45
F,30.0,2917599,654,648,5.42
M,42.0,3923125,070,071,20.35
F,26.0,8153256,091,095,20.6
M,31.0,8188757,187,126,17.2
F,54.0,5154737,517,527,13.72
F,26.0,5847983,494,485,8.82
M,56.0,6464390,455,288,22.67
M,28.0,2481836,223,221,5.48
M,31.0,5402813,008,093,18.32
M,29.0,3910726,594,614,9.57
F,28.0,7659048,038,145,13.45
F,49.0,7302763,659,709,23.82
M,25.0,5742408,561,087,10.4
M,53.0,7980097,052,139,25.18
F,26.0,5985817,006,271-272,15.97
M,23.0,5766290,390-391,315,7.58
M,28.0,7748148,112,112,33.78
M,34.0,6701908,064,116,10.33
F,26.0,7577059,004,560,16.93
M,43.0,5133590,253,202,16.58
M,30.0,6655070,474,243,7.82
F,32.0,7583990,058,130,17.65
M,34.0,5621024,291,167,17.95
M,31.0,8600835,542,554,9.63
F,29.0,8516106,006,139,14.03
M,32.0,2546547,710,710,37.53
M,32.0,6917355,205,251,16.62
F,29.0,5700257,254,449,25.78
M,46.0,3362415,454,477,17.88
M,36.0,7734379,086,271-272,6.53
F,43.0,2663326,608,611,6.65
M,31.0,8480436,059,054,2.63
M,27.0,8969958,416,372,9.35
M,25.0,2656940,117,081,12.08
M,28.0,6203087,696,648,9.78
M,40.0,2596906,571,038,19.72
M,50.0,4992624,022,035,39.35
M,33.0,3877693,561,135,6.37
M,42.0,2954444,541,031,15.6
F,19.0,4953634,359,628,9.08
M,40.0,4579983,331,331,3.65
M,50.0,4709937,018,028,8.82
O,40.0,2587988,025,569,21.48
M,27.0,4651121,412,600,16.53
M,32.0,5578877,119,064,13.33
M,43.0,8006496,122,094,15.9
F,20.0,7682438,469,111,15.8
F,44.0,2051886,119,008,15.8
F,29.0,7369630,174,006,7.25
F,29.0,2712495,095,106,2.88
M,38.0,2218790,032,039,3.47
M,33.0,4357661,045,259,12.42
M,26.0,6762132,648,697,13.93
F,43.0,7133101,182,053,11.32
M,21.0,7933153,571,606,11.65
O,32.0,3349198,542,077,30.15
F,32.0,6231674,544,273-274,13.82
M,37.0,7128150,014,025,6.97
