Estacion,genero_x_mes,edad_x_mes,duraciones_x_mes,dias_x_mes,horas_x_mes,viajes_x_mes,retiros_x_mes,arribos_x_mes
260,"{'M': 8581.16, 'F': 3176.5, 'O': 231.0}","{'<20': 171.67, '20-30': 4989.5, '30-40': 4226.0, '40-50': 1565.33, '50-60': 815.17, '60-70': 194.0, '70<': 27.0}","{'0-10': 3025.17, '10-20': 4758.67, '20-30': 2261.33, '30-45': 1596.0, '45+': 347.5}","{'Monday': 1478.17, 'Tuesday': 1670.67, 'Wednesday': 1691.33, 'Thursday': 1781.83, 'Friday': 1818.17, 'Saturday': 1703.33, 'Sunday': 1845.17}","{0: 71.83, 1: 0.83, 2: 0.0, 3: 0.17, 4: 0.0, 5: 83.5, 6: 244.17, 7: 402.83, 8: 417.67, 9: 545.33, 10: 577.67, 11: 652.83, 12: 727.67, 13: 720.5, 14: 851.5, 15: 985.17, 16: 809.33, 17: 901.83, 18: 1086.5, 19: 954.33, 20: 751.0, 21: 578.33, 22: 404.33, 23: 221.33}","{'2024-10': 13864, '2024-11': 12299, '2024-12': 11628, '2025-1': 11044, '2025-2': 10861, '2025-3': 12236}",1537.33,1262.83
261,"{'M': 3677.16, 'F': 1379.0, 'O': 71.84}","{'<20': 44.5, '20-30': 1841.5, '30-40': 1990.67, '40-50': 827.33, '50-60': 358.5, '60-70': 57.5, '70<': 8.0}","{'0-10': 1220.5, '10-20': 2292.17, '20-30': 849.83, '30-45': 617.0, '45+': 148.5}","{'Monday': 672.33, 'Tuesday': 774.0, 'Wednesday': 783.33, 'Thursday': 822.33, 'Friday': 756.83, 'Saturday': 487.0, 'Sunday': 832.17}","{0: 10.83, 1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 23.33, 6: 52.0, 7: 427.33, 8: 498.33, 9: 337.33, 10: 278.17, 11: 274.33, 12: 311.83, 13: 327.67, 14: 332.17, 15: 455.33, 16: 377.33, 17: 367.5, 18: 246.67, 19: 247.5, 20: 213.5, 21: 170.17, 22: 125.0, 23: 51.67}","{'2024-10': 5295, '2024-11': 4458, '2024-12': 4743, '2025-1': 5610, '2025-2': 5398, '2025-3': 5264}",1256.0,1083.0
262,"{'M': 3086.5, 'F': 995.66, 'O': 187.84}","{'<20': 48.17, '20-30': 1338.5, '30-40': 1610.17, '40-50': 784.0, '50-60': 385.33, '60-70': 93.5, '70<': 10.33}","{'0-10': 1005.5, '10-20': 1378.0, '20-30': 988.5, '30-45': 746.5, '45+': 151.5}","{'Monday': 593.0, 'Tuesday': 625.67, 'Wednesday': 655.17, 'Thursday': 645.17, 'Friday': 651.83, 'Saturday': 602.67, 'Sunday': 496.5}","{0: 40.33, 1: 2.5, 2: 0.17, 3: 0.0, 4: 0.0, 5: 8.5, 6: 60.0, 7: 144.33, 8: 218.67, 9: 175.17, 10: 199.67, 11: 224.67, 12: 292.5, 13: 357.17, 14: 360.17, 15: 405.17, 16: 378.5, 17: 390.83, 18: 283.83, 19: 231.5, 20: 170.83, 21: 147.17, 22: 98.83, 23: 79.5}","{'2024-10': 4465, '2024-11': 4302, '2024-12': 4432, '2025-1': 4245, '2025-2': 3952, '2025-3': 4224}",2975.83,3167.17
263,"{'M': 2506.5, 'F': 773.16, 'O': 86.0}","{'<20': 85.33, '20-30': 1203.83, '30-40': 1249.33, '40-50': 564.33, '50-60': 191.67, '60-70': 58.33, '70<': 12.83}","{'0-10': 1462.33, '10-20': 1236.5, '20-30': 403.17, '30-45': 225.67, '45+': 38.0}","{'Monday': 512.0, 'Tuesday': 534.17, 'Wednesday': 547.83, 'Thursday': 548.83, 'Friday': 548.67, 'Saturday': 438.5, 'Sunday': 235.67}","{0: 16.33, 1: 0.33, 2: 0.0, 3: 0.0, 4: 0.0, 5: 18.17, 6: 152.83, 7: 328.83, 8: 225.67, 9: 136.5, 10: 144.33, 11: 149.17, 12: 142.33, 13: 187.17, 14: 248.5, 15: 192.5, 16: 172.5, 17: 224.0, 18: 262.67, 19: 271.33, 20: 185.33, 21: 132.33, 22: 114.0, 23: 60.83}","{'2024-10': 3903, '2024-11': 3486, '2024-12': 3150, '2025-1': 3366, '2025-2': 3162, '2025-3': 3127}",2631.67,2306.67
264,"{'M': 2386.0, 'F': 691.5, 'O': 41.17}","{'<20': 24.0, '20-30': 1152.83, '30-40': 1262.33, '40-50': 513.33, '50-60': 131.67, '60-70': 26.5, '70<': 8.0}","{'0-10': 864.0, '10-20': 1159.17, '20-30': 705.5, '30-45': 362.67, '45+': 27.33}","{'Monday': 489.5, 'Tuesday': 611.83, 'Wednesday': 605.67, 'Thursday': 590.33, 'Friday': 527.17, 'Saturday': 179.17, 'Sunday': 115.0}","{0: 11.5, 1: 0.83, 2: 0.17, 3: 0.0, 4: 0.17, 5: 7.0, 6: 25.33, 7: 610.83, 8: 354.83, 9: 63.67, 10: 97.5, 11: 91.0, 12: 98.83, 13: 110.33, 14: 94.0, 15: 112.33, 16: 121.67, 17: 143.17, 18: 622.83, 19: 309.0, 20: 88.0, 21: 58.5, 22: 51.0, 23: 46.17}","{'2024-10': 4370, '2024-11': 4279, '2024-12': 1778, '2025-1': 2460, '2025-2': 2910, '2025-3': 2915}",,
265,"{'M': 2579.0, 'F': 837.17, 'O': 92.34}","{'<20': 29.33, '20-30': 1187.33, '30-40': 1437.67, '40-50': 571.67, '50-60': 211.83, '60-70': 53.83, '70<': 16.83}","{'0-10': 1215.5, '10-20': 1213.0, '20-30': 673.33, '30-45': 358.0, '45+': 48.67}","{'Monday': 516.0, 'Tuesday': 582.67, 'Wednesday': 595.33, 'Thursday': 622.17, 'Friday': 589.5, 'Saturday': 333.33, 'Sunday': 269.5}","{0: 23.33, 1: 0.83, 2: 0.0, 3: 0.17, 4: 0.0, 5: 19.83, 6: 76.83, 7: 369.33, 8: 219.33, 9: 83.0, 10: 120.67, 11: 140.33, 12: 150.0, 13: 198.83, 14: 198.33, 15: 243.0, 16: 213.17, 17: 264.17, 18: 438.0, 19: 280.83, 20: 164.5, 21: 159.33, 22: 84.33, 23: 60.33}","{'2024-10': 4363, '2024-11': 4033, '2024-12': 1815, '2025-1': 3047, '2025-2': 3655, '2025-3': 4138}",3101.67,3104.33
266,"{'M': 9915.83, 'F': 2941.34, 'O': 283.5}","{'<20': 140.5, '20-30': 4781.83, '30-40': 4992.67, '40-50': 2038.0, '50-60': 861.83, '60-70': 311.17, '70<': 14.67}","{'0-10': 3091.83, '10-20': 5930.17, '20-30': 2715.83, '30-45': 1289.33, '45+': 113.5}","{'Monday': 2067.33, 'Tuesday': 2157.83, 'Wednesday': 2232.33, 'Thursday': 2274.0, 'Friday': 2229.5, 'Saturday': 1340.17, 'Sunday': 839.5}","{0: 38.83, 1: 1.83, 2: 0.33, 3: 0.17, 4: 0.0, 5: 27.0, 6: 669.33, 7: 1234.0, 8: 892.5, 9: 802.5, 10: 608.5, 11: 542.0, 12: 534.67, 13: 716.0, 14: 801.17, 15: 941.5, 16: 1010.5, 17: 1246.5, 18: 1051.83, 19: 554.67, 20: 429.17, 21: 408.17, 22: 365.67, 23: 263.83}","{'2024-10': 15720, '2024-11': 15853, '2024-12': 8974, '2025-1': 10876, '2025-2': 13378, '2025-3': 14043}",1321.0,1253.33
268,"{'M': 3109.0, 'F': 958.83, 'O': 75.0}","{'<20': 77.5, '20-30': 1530.33, '30-40': 1498.5, '40-50': 637.0, '50-60': 315.83, '60-70': 71.5, '70<': 12.17}","{'0-10': 1125.83, '10-20': 1709.33, '20-30': 825.83, '30-45': 437.0, '45+': 44.83}","{'Monday': 606.33, 'Tuesday': 753.0, 'Wednesday': 721.83, 'Thursday': 752.0, 'Friday': 686.83, 'Saturday': 334.17, 'Sunday': 288.67}","{0: 15.0, 1: 5.0, 2: 0.83, 3: 0.0, 4: 0.0, 5: 33.67, 6: 132.83, 7: 832.0, 8: 233.17, 9: 108.5, 10: 147.33, 11: 144.67, 12: 140.33, 13: 172.17, 14: 191.17, 15: 244.0, 16: 266.5, 17: 234.83, 18: 576.17, 19: 274.33, 20: 137.5, 21: 101.83, 22: 82.83, 23: 68.17}","{'2024-10': 6152, '2024-11': 5413, '2024-12': 2051, '2025-1': 2902, '2025-2': 3947, '2025-3': 4392}",1074.83,725.83
270,"{'M': 7310.16, 'F': 3132.0, 'O': 217.0}","{'<20': 143.5, '20-30': 4376.5, '30-40': 3987.5, '40-50': 1426.17, '50-60': 548.33, '60-70': 140.0, '70<': 37.17}","{'0-10': 4052.0, '10-20': 3371.5, '20-30': 1669.67, '30-45': 1292.83, '45+': 273.17}","{'Monday': 1458.5, 'Tuesday': 1484.5, 'Wednesday': 1546.17, 'Thursday': 1602.33, 'Friday': 1673.33, 'Saturday': 1554.5, 'Sunday': 1339.83}","{0: 80.17, 1: 2.83, 2: 0.0, 3: 0.17, 4: 0.0, 5: 26.5, 6: 175.83, 7: 446.33, 8: 537.83, 9: 437.0, 10: 534.67, 11: 530.17, 12: 541.33, 13: 620.83, 14: 732.33, 15: 725.17, 16: 657.0, 17: 783.67, 18: 969.83, 19: 948.5, 20: 674.5, 21: 562.67, 22: 405.0, 23: 266.83}","{'2024-10': 12809, '2024-11': 11604, '2024-12': 9862, '2025-1': 9728, '2025-2': 9360, '2025-3': 10592}",1531.67,1587.0
271,"{'M': 31303.0, 'F': 10557.33, 'O': 602.17}","{'<20': 397.83, '20-30': 16543.33, '30-40': 16076.33, '40-50': 6476.17, '50-60': 2502.0, '60-70': 443.33, '70<': 23.5}","{'0-10': 7915.5, '10-20': 19505.83, '20-30': 9880.67, '30-45': 4659.83, '45+': 500.67}","{'Monday': 6942.33, 'Tuesday': 7905.0, 'Wednesday': 7802.33, 'Thursday': 7938.0, 'Friday': 6923.0, 'Saturday': 2979.33, 'Sunday': 1972.5}","{0: 103.0, 1: 1.83, 2: 0.17, 3: 0.17, 4: 0.0, 5: 467.0, 6: 1730.17, 7: 2315.67, 8: 2360.67, 9: 2560.17, 10: 1362.5, 11: 930.33, 12: 882.67, 13: 1123.5, 14: 1773.67, 15: 2344.33, 16: 2010.17, 17: 4265.33, 18: 5720.5, 19: 5449.5, 20: 3641.83, 21: 1975.67, 22: 1028.33, 23: 415.33}","{'2024-10': 61570, '2024-11': 51632, '2024-12': 30165, '2025-1': 34911, '2025-2': 40586, '2025-3': 35911}",4986.0,4795.83
273,"{'M': 7114.67, 'F': 2837.5, 'O': 186.66}","{'<20': 97.5, '20-30': 3814.17, '30-40': 3903.0, '40-50': 1587.0, '50-60': 587.67, '60-70': 124.17, '70<': 25.33}","{'0-10': 2599.17, '10-20': 4349.33, '20-30': 2118.0, '30-45': 991.33, '45+': 81.0}","{'Monday': 1627.33, 'Tuesday': 1768.17, 'Wednesday': 1664.0, 'Thursday': 1796.5, 'Friday': 1652.0, 'Saturday': 858.33, 'Sunday': 772.5}","{0: 17.0, 1: 0.0, 2: 0.17, 3: 0.0, 4: 0.0, 5: 15.33, 6: 184.0, 7: 1304.67, 8: 674.33, 9: 440.5, 10: 350.0, 11: 325.67, 12: 326.33, 13: 394.33, 14: 460.17, 15: 589.67, 16: 787.33, 17: 865.17, 18: 1205.0, 19: 866.33, 20: 530.83, 21: 384.17, 22: 275.67, 23: 142.17}","{'2024-10': 10170, '2024-11': 11531, '2024-12': 5077, '2025-1': 7452, '2025-2': 9599, '2025-3': 17004}",2384.33,2453.17
