Estacion,genero_x_mes,edad_x_mes,duraciones_x_mes,dias_x_mes,horas_x_mes,viajes_x_mes,retiros_x_mes,arribos_x_mes
1,"{'M': 11305.17, 'F': 4236.67, 'O': 177.67}","{'<20': 181.5, '20-30': 4719.0, '30-40': 6119.5, '40-50': 2841.83, '50-60': 1323.67, '60-70': 284.83, '70<': 249.33}","{'0-10': 6820.67, '10-20': 5727.33, '20-30': 2094.5, '30-45': 930.17, '45+': 147.0}","{'Monday': 2437.67, 'Tuesday': 2629.67, 'Wednesday': 2574.67, 'Thursday': 2595.17, 'Friday': 2452.83, 'Saturday': 1569.0, 'Sunday': 1460.67}","{0: 89.83, 1: 0.5, 2: 0.0, 3: 0.0, 4: 0.0, 5: 67.17, 6: 216.83, 7: 464.83, 8: 1096.17, 9: 1050.5, 10: 730.33, 11: 791.0, 12: 783.5, 13: 911.0, 14: 1152.17, 15: 1315.83, 16: 1132.17, 17: 1179.83, 18: 1246.17, 19: 1097.33, 20: 848.0, 21: 700.17, 22: 543.17, 23: 303.17}","{'2024-10': 17855, '2024-11': 16465, '2024-12': 14164, '2025-1': 15557, '2025-2': 14826, '2025-3': 15451}",9426.83,6931.33
2,"{'M': 4764.5, 'F': 1733.17, 'O': 83.5}","{'<20': 30.67, '20-30': 1990.0, '30-40': 2827.83, '40-50': 1195.67, '50-60': 399.33, '60-70': 110.0, '70<': 27.67}","{'0-10': 2134.17, '10-20': 2882.33, '20-30': 1013.83, '30-45': 477.67, '45+': 73.17}","{'Monday': 1020.17, 'Tuesday': 1110.67, 'Wednesday': 1114.17, 'Thursday': 1202.5, 'Friday': 1041.0, 'Saturday': 583.5, 'Sunday': 509.17}","{0: 63.17, 1: 2.5, 2: 0.33, 3: 0.0, 4: 0.0, 5: 35.67, 6: 96.83, 7: 188.83, 8: 629.5, 9: 524.17, 10: 380.33, 11: 335.17, 12: 322.0, 13: 392.83, 14: 438.83, 15: 478.5, 16: 445.0, 17: 516.33, 18: 462.83, 19: 411.0, 20: 302.17, 21: 224.17, 22: 183.17, 23: 147.83}","{'2024-10': 7277, '2024-11': 6991, '2024-12': 5913, '2025-1': 6445, '2025-2': 6441, '2025-3': 6420}",2232.5,2503.0
3,"{'M': 5133.17, 'F': 1948.0, 'O': 122.34}","{'<20': 140.0, '20-30': 3195.83, '30-40': 2451.83, '40-50': 858.33, '50-60': 346.33, '60-70': 153.83, '70<': 57.33}","{'0-10': 2733.0, '10-20': 2360.0, '20-30': 947.67, '30-45': 966.67, '45+': 196.17}","{'Monday': 1001.67, 'Tuesday': 1098.33, 'Wednesday': 1097.33, 'Thursday': 1173.0, 'Friday': 1129.67, 'Saturday': 879.0, 'Sunday': 824.5}","{0: 54.33, 1: 1.5, 2: 0.0, 3: 0.0, 4: 0.0, 5: 28.33, 6: 108.5, 7: 193.5, 8: 358.33, 9: 451.5, 10: 359.83, 11: 366.5, 12: 361.33, 13: 411.33, 14: 435.33, 15: 459.0, 16: 449.83, 17: 549.5, 18: 627.83, 19: 601.67, 20: 462.33, 21: 447.0, 22: 316.0, 23: 160.0}","{'2024-10': 7802, '2024-11': 7620, '2024-12': 7215, '2025-1': 6353, '2025-2': 6643, '2025-3': 7588}",4748.67,4741.17
4,"{'M': 6255.0, 'F': 2534.0, 'O': 85.33}","{'<20': 59.67, '20-30': 2939.67, '30-40': 3839.33, '40-50': 1376.17, '50-60': 469.67, '60-70': 167.83, '70<': 22.0}","{'0-10': 3164.0, '10-20': 3681.0, '20-30': 1336.83, '30-45': 579.33, '45+': 113.17}","{'Monday': 1285.0, 'Tuesday': 1467.5, 'Wednesday': 1393.67, 'Thursday': 1447.83, 'Friday': 1427.83, 'Saturday': 965.33, 'Sunday': 887.17}","{0: 67.5, 1: 0.83, 2: 0.0, 3: 0.0, 4: 0.0, 5: 53.17, 6: 212.33, 7: 419.67, 8: 597.17, 9: 450.67, 10: 412.0, 11: 397.5, 12: 436.83, 13: 555.83, 14: 670.83, 15: 665.0, 16: 658.5, 17: 738.33, 18: 644.33, 19: 552.67, 20: 511.17, 21: 338.17, 22: 287.67, 23: 204.17}","{'2024-10': 9799, '2024-11': 9041, '2024-12': 8217, '2025-1': 8646, '2025-2': 8132, '2025-3': 9411}",3265.83,3656.67
5,"{'M': 6823.0, 'F': 2592.5, 'O': 154.84}","{'<20': 77.5, '20-30': 3182.67, '30-40': 4070.33, '40-50': 1411.83, '50-60': 601.5, '60-70': 207.83, '70<': 18.67}","{'0-10': 3037.0, '10-20': 4302.5, '20-30': 1475.17, '30-45': 644.67, '45+': 111.0}","{'Monday': 1410.33, 'Tuesday': 1581.5, 'Wednesday': 1571.33, 'Thursday': 1641.17, 'Friday': 1592.83, 'Saturday': 981.5, 'Sunday': 791.67}","{0: 55.17, 1: 1.0, 2: 0.33, 3: 0.17, 4: 0.0, 5: 32.0, 6: 224.83, 7: 468.67, 8: 753.33, 9: 654.67, 10: 505.83, 11: 461.67, 12: 444.5, 13: 506.67, 14: 655.0, 15: 662.83, 16: 630.5, 17: 811.0, 18: 799.33, 19: 660.17, 20: 462.0, 21: 327.5, 22: 257.5, 23: 195.67}","{'2024-10': 10805, '2024-11': 10180, '2024-12': 8995, '2025-1': 9755, '2025-2': 8760, '2025-3': 8927}",1566.17,1552.67
6,"{'M': 6603.66, 'F': 2746.5, 'O': 139.66}","{'<20': 101.33, '20-30': 3068.67, '30-40': 3939.33, '40-50': 1600.67, '50-60': 613.0, '60-70': 147.5, '70<': 19.33}","{'0-10': 3481.83, '10-20': 3832.0, '20-30': 1382.67, '30-45': 674.0, '45+': 119.33}","{'Monday': 1373.0, 'Tuesday': 1553.17, 'Wednesday': 1585.67, 'Thursday': 1662.67, 'Friday': 1569.5, 'Saturday': 959.0, 'Sunday': 786.83}","{0: 62.33, 1: 0.33, 2: 0.0, 3: 0.17, 4: 0.0, 5: 79.67, 6: 196.0, 7: 522.0, 8: 713.33, 9: 643.5, 10: 507.0, 11: 448.83, 12: 467.5, 13: 567.83, 14: 757.67, 15: 710.67, 16: 685.0, 17: 634.5, 18: 670.0, 19: 631.0, 20: 479.83, 21: 326.33, 22: 222.5, 23: 163.83}","{'2024-10': 10740, '2024-11': 10120, '2024-12': 8955, '2025-1': 9441, '2025-2': 8680, '2025-3': 9003}",3815.67,4016.0
7,"{'M': 9717.84, 'F': 3511.84, 'O': 256.0}","{'<20': 113.17, '20-30': 4921.0, '30-40': 5138.83, '40-50': 2296.33, '50-60': 731.83, '60-70': 215.0, '70<': 69.5}","{'0-10': 3657.67, '10-20': 6254.0, '20-30': 2292.0, '30-45': 1087.33, '45+': 194.67}","{'Monday': 2003.17, 'Tuesday': 2241.17, 'Wednesday': 2243.33, 'Thursday': 2355.67, 'Friday': 2208.0, 'Saturday': 1317.83, 'Sunday': 1116.5}","{0: 49.33, 1: 0.33, 2: 0.0, 3: 0.0, 4: 0.17, 5: 170.0, 6: 359.17, 7: 645.17, 8: 708.5, 9: 699.0, 10: 611.33, 11: 646.5, 12: 742.83, 13: 846.17, 14: 1132.33, 15: 1183.83, 16: 1090.0, 17: 1222.5, 18: 966.67, 19: 865.33, 20: 651.83, 21: 413.83, 22: 308.17, 23: 172.67}","{'2024-10': 14487, '2024-11': 13804, '2024-12': 12698, '2025-1': 13393, '2025-2': 12741, '2025-3': 13791}",5151.33,5559.0
8,"{'M': 4127.5, 'F': 1700.17, 'O': 73.17}","{'<20': 84.67, '20-30': 1942.0, '30-40': 2170.0, '40-50': 1040.67, '50-60': 506.0, '60-70': 133.5, '70<': 24.0}","{'0-10': 2216.33, '10-20': 1954.83, '20-30': 863.33, '30-45': 719.0, '45+': 147.33}","{'Monday': 819.33, 'Tuesday': 889.17, 'Wednesday': 929.5, 'Thursday': 944.33, 'Friday': 932.83, 'Saturday': 686.67, 'Sunday': 699.0}","{0: 28.33, 1: 0.33, 2: 0.0, 3: 0.0, 4: 0.0, 5: 31.33, 6: 107.17, 7: 209.0, 8: 475.17, 9: 369.83, 10: 263.17, 11: 299.0, 12: 309.83, 13: 342.0, 14: 432.0, 15: 455.5, 16: 395.33, 17: 452.67, 18: 460.0, 19: 371.17, 20: 328.0, 21: 255.33, 22: 197.33, 23: 118.33}","{'2024-10': 7093, '2024-11': 6254, '2024-12': 5561, '2025-1': 5652, '2025-2': 5214, '2025-3': 5631}",3253.67,3327.5
9,"{'M': 4563.16, 'F': 1737.5, 'O': 68.66}","{'<20': 81.83, '20-30': 2280.67, '30-40': 2524.67, '40-50': 888.67, '50-60': 406.0, '60-70': 169.17, '70<': 18.33}","{'0-10': 2236.5, '10-20': 2648.33, '20-30': 960.17, '30-45': 438.33, '45+': 86.0}","{'Monday': 923.67, 'Tuesday': 1025.0, 'Wednesday': 1076.0, 'Thursday': 1064.33, 'Friday': 1028.83, 'Saturday': 654.33, 'Sunday': 597.17}","{0: 36.33, 1: 0.83, 2: 0.0, 3: 0.0, 4: 0.0, 5: 51.5, 6: 206.67, 7: 438.0, 8: 491.67, 9: 418.17, 10: 314.83, 11: 316.0, 12: 355.17, 13: 405.17, 14: 504.17, 15: 487.17, 16: 437.5, 17: 400.83, 18: 400.67, 19: 338.0, 20: 255.0, 21: 230.67, 22: 159.0, 23: 122.0}","{'2024-10': 7188, '2024-11': 6489, '2024-12': 5949, '2025-1': 6351, '2025-2': 5966, '2025-3': 6273}",7353.67,8054.5
10,"{'M': 8179.17, 'F': 3156.17, 'O': 204.17}","{'<20': 122.5, '20-30': 4358.17, '30-40': 4238.67, '40-50': 1731.17, '50-60': 781.5, '60-70': 252.5, '70<': 55.0}","{'0-10': 4994.67, '10-20': 3652.0, '20-30': 1479.0, '30-45': 1129.0, '45+': 284.83}","{'Monday': 1561.83, 'Tuesday': 1767.83, 'Wednesday': 1764.67, 'Thursday': 1830.17, 'Friday': 1746.0, 'Saturday': 1361.83, 'Sunday': 1507.17}","{0: 37.83, 1: 1.0, 2: 0.17, 3: 0.0, 4: 0.0, 5: 121.5, 6: 376.17, 7: 640.67, 8: 850.67, 9: 714.33, 10: 638.83, 11: 679.5, 12: 696.33, 13: 743.83, 14: 814.5, 15: 761.17, 16: 633.5, 17: 677.83, 18: 826.5, 19: 730.33, 20: 630.83, 21: 494.67, 22: 323.83, 23: 145.5}","{'2024-10': 13159, '2024-11': 11712, '2024-12': 11144, '2025-1': 11042, '2025-2': 11035, '2025-3': 11145}",2510.5,2401.0
11,"{'M': 4965.33, 'F': 1887.67, 'O': 150.0}","{'<20': 77.83, '20-30': 2003.0, '30-40': 3059.17, '40-50': 1108.67, '50-60': 649.5, '60-70': 97.0, '70<': 7.83}","{'0-10': 3023.33, '10-20': 2632.33, '20-30': 843.83, '30-45': 417.0, '45+': 86.5}","{'Monday': 1065.0, 'Tuesday': 1201.83, 'Wednesday': 1184.83, 'Thursday': 1191.5, 'Friday': 1134.5, 'Saturday': 637.0, 'Sunday': 588.33}","{0: 26.17, 1: 0.67, 2: 0.0, 3: 0.17, 4: 0.0, 5: 27.5, 6: 136.83, 7: 336.0, 8: 653.83, 9: 493.67, 10: 363.17, 11: 351.83, 12: 363.83, 13: 425.5, 14: 568.17, 15: 514.5, 16: 503.83, 17: 411.83, 18: 485.0, 19: 422.0, 20: 298.5, 21: 288.5, 22: 208.83, 23: 122.67}","{'2024-10': 8251, '2024-11': 6961, '2024-12': 6394, '2025-1': 7010, '2025-2': 6570, '2025-3': 6832}",,
12,"{'M': 5005.17, 'F': 1671.67, 'O': 96.33}","{'<20': 69.0, '20-30': 2247.17, '30-40': 2416.17, '40-50': 1272.67, '50-60': 603.67, '60-70': 129.67, '70<': 34.83}","{'0-10': 2783.0, '10-20': 2419.5, '20-30': 910.0, '30-45': 573.33, '45+': 87.33}","{'Monday': 999.0, 'Tuesday': 1120.83, 'Wednesday': 1078.67, 'Thursday': 1131.5, 'Friday': 1105.17, 'Saturday': 666.0, 'Sunday': 672.0}","{0: 35.5, 1: 1.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 19.17, 6: 114.0, 7: 326.17, 8: 541.5, 9: 403.0, 10: 349.83, 11: 385.0, 12: 406.83, 13: 463.83, 14: 492.5, 15: 539.5, 16: 460.0, 17: 453.67, 18: 486.5, 19: 401.33, 20: 302.5, 21: 278.17, 22: 187.83, 23: 125.33}","{'2024-10': 7703, '2024-11': 7494, '2024-12': 6083, '2025-1': 6375, '2025-2': 6229, '2025-3': 6755}",4029.67,4396.0
13,"{'M': 3872.0, 'F': 1590.0, 'O': 70.5}","{'<20': 56.33, '20-30': 2098.0, '30-40': 2103.67, '40-50': 909.67, '50-60': 282.67, '60-70': 73.17, '70<': 9.0}","{'0-10': 1270.67, '10-20': 2344.0, '20-30': 938.33, '30-45': 780.67, '45+': 198.83}","{'Monday': 638.33, 'Tuesday': 793.17, 'Wednesday': 761.0, 'Thursday': 831.0, 'Friday': 752.67, 'Saturday': 662.67, 'Sunday': 1093.67}","{0: 15.5, 1: 0.33, 2: 0.17, 3: 0.0, 4: 0.0, 5: 26.67, 6: 90.33, 7: 303.5, 8: 512.67, 9: 350.67, 10: 328.83, 11: 321.67, 12: 372.83, 13: 378.33, 14: 364.33, 15: 438.17, 16: 384.33, 17: 402.0, 18: 277.83, 19: 276.0, 20: 198.83, 21: 233.67, 22: 171.33, 23: 84.5}","{'2024-10': 6542, '2024-11': 5188, '2024-12': 4994, '2025-1': 5424, '2025-2': 5226, '2025-3': 5821}",5187.0,5443.17
14,"{'M': 15995.83, 'F': 6575.67, 'O': 390.5}","{'<20': 232.5, '20-30': 8773.17, '30-40': 8825.33, '40-50': 3530.33, '50-60': 1279.5, '60-70': 281.33, '70<': 39.83}","{'0-10': 5514.5, '10-20': 10306.33, '20-30': 4141.0, '30-45': 2392.5, '45+': 607.67}","{'Monday': 3205.33, 'Tuesday': 4020.83, 'Wednesday': 3921.33, 'Thursday': 3942.0, 'Friday': 3270.0, 'Saturday': 1863.17, 'Sunday': 2739.33}","{0: 34.33, 1: 1.33, 2: 0.0, 3: 0.0, 4: 0.0, 5: 92.33, 6: 423.33, 7: 1399.33, 8: 2755.0, 9: 3340.17, 10: 1387.83, 11: 1082.17, 12: 1194.5, 13: 1313.5, 14: 1294.5, 15: 1441.17, 16: 1154.5, 17: 1400.17, 18: 1387.5, 19: 1219.17, 20: 1006.5, 21: 525.67, 22: 367.17, 23: 141.83}","{'2024-10': 27838, '2024-11': 23818, '2024-12': 19024, '2025-1': 23116, '2025-2': 21932, '2025-3': 22044}",2182.17,2146.5
15,"{'M': 7583.84, 'F': 2970.16, 'O': 156.33}","{'<20': 112.33, '20-30': 3979.33, '30-40': 4099.83, '40-50': 1767.0, '50-60': 599.33, '60-70': 128.67, '70<': 23.83}","{'0-10': 2981.17, '10-20': 4783.33, '20-30': 1654.67, '30-45': 1045.67, '45+': 245.5}","{'Monday': 1409.17, 'Tuesday': 1504.33, 'Wednesday': 1581.83, 'Thursday': 1536.5, 'Friday': 1607.33, 'Saturday': 1308.83, 'Sunday': 1762.33}","{0: 27.5, 1: 0.33, 2: 0.17, 3: 0.0, 4: 0.0, 5: 136.5, 6: 432.5, 7: 649.83, 8: 674.83, 9: 534.17, 10: 467.0, 11: 523.33, 12: 589.67, 13: 710.33, 14: 828.5, 15: 816.5, 16: 700.17, 17: 640.0, 18: 748.67, 19: 652.67, 20: 641.0, 21: 514.0, 22: 290.33, 23: 132.33}","{'2024-10': 11570, '2024-11': 10670, '2024-12': 10207, '2025-1': 11207, '2025-2': 9896, '2025-3': 10712}",,
16,"{'M': 7144.5, 'F': 3285.83, 'O': 171.84}","{'<20': 150.83, '20-30': 4206.83, '30-40': 3960.67, '40-50': 1503.0, '50-60': 561.5, '60-70': 190.33, '70<': 29.0}","{'0-10': 2744.67, '10-20': 4405.83, '20-30': 1752.83, '30-45': 1299.0, '45+': 399.83}","{'Monday': 1337.17, 'Tuesday': 1572.33, 'Wednesday': 1468.67, 'Thursday': 1584.67, 'Friday': 1528.67, 'Saturday': 1189.33, 'Sunday': 1921.33}","{0: 30.5, 1: 0.67, 2: 0.0, 3: 0.0, 4: 0.17, 5: 77.67, 6: 286.83, 7: 589.0, 8: 635.83, 9: 559.33, 10: 622.67, 11: 698.0, 12: 732.83, 13: 876.0, 14: 826.67, 15: 770.0, 16: 552.0, 17: 615.5, 18: 665.17, 19: 635.5, 20: 514.5, 21: 462.83, 22: 313.0, 23: 137.5}","{'2024-10': 12068, '2024-11': 11720, '2024-12': 9699, '2025-1': 9185, '2025-2': 10062, '2025-3': 10879}",1761.0,1696.5
17,"{'M': 9578.84, 'F': 4270.0, 'O': 175.17}","{'<20': 220.83, '20-30': 5827.5, '30-40': 5117.83, '40-50': 1965.17, '50-60': 740.67, '60-70': 127.0, '70<': 25.17}","{'0-10': 3642.17, '10-20': 6467.17, '20-30': 2166.67, '30-45': 1383.83, '45+': 364.33}","{'Monday': 1891.83, 'Tuesday': 2024.0, 'Wednesday': 2044.33, 'Thursday': 2181.17, 'Friday': 2191.83, 'Saturday': 1867.67, 'Sunday': 1823.33}","{0: 62.83, 1: 1.33, 2: 0.17, 3: 0.0, 4: 0.0, 5: 149.0, 6: 395.0, 7: 703.83, 8: 910.67, 9: 750.67, 10: 614.5, 11: 653.67, 12: 715.5, 13: 882.67, 14: 1050.0, 15: 1055.0, 16: 960.5, 17: 914.17, 18: 1058.67, 19: 965.67, 20: 777.67, 21: 714.0, 22: 477.33, 23: 211.33}","{'2024-10': 16053, '2024-11': 14523, '2024-12': 13690, '2025-1': 12983, '2025-2': 12866, '2025-3': 14030}",3943.67,3560.5
18,"{'M': 11220.0, 'F': 4740.17, 'O': 185.33}","{'<20': 191.67, '20-30': 6122.17, '30-40': 6434.0, '40-50': 2245.67, '50-60': 906.17, '60-70': 208.83, '70<': 37.0}","{'0-10': 5754.17, '10-20': 6243.5, '20-30': 2225.17, '30-45': 1517.5, '45+': 405.17}","{'Monday': 2171.33, 'Tuesday': 2360.0, 'Wednesday': 2480.5, 'Thursday': 2502.67, 'Friday': 2547.33, 'Saturday': 1722.67, 'Sunday': 2361.0}","{0: 48.0, 1: 1.83, 2: 0.0, 3: 0.0, 4: 0.0, 5: 130.67, 6: 457.5, 7: 1109.17, 8: 1031.33, 9: 909.0, 10: 813.5, 11: 911.83, 12: 994.67, 13: 1151.0, 14: 1202.67, 15: 1161.33, 16: 927.0, 17: 1069.83, 18: 1253.83, 19: 1009.17, 20: 783.33, 21: 600.5, 22: 401.17, 23: 178.17}","{'2024-10': 18086, '2024-11': 16871, '2024-12': 13697, '2025-1': 15574, '2025-2': 15361, '2025-3': 17284}",3539.5,3554.0
19,"{'M': 9021.83, 'F': 3783.66, 'O': 148.67}","{'<20': 185.33, '20-30': 4726.0, '30-40': 5254.17, '40-50': 1886.0, '50-60': 748.5, '60-70': 139.5, '70<': 14.67}","{'0-10': 5027.83, '10-20': 4730.83, '20-30': 1662.33, '30-45': 1207.5, '45+': 325.67}","{'Monday': 1839.83, 'Tuesday': 2110.5, 'Wednesday': 2135.5, 'Thursday': 2070.5, 'Friday': 1809.33, 'Saturday': 1237.83, 'Sunday': 1750.67}","{0: 22.0, 1: 0.17, 2: 0.0, 3: 0.0, 4: 0.0, 5: 66.17, 6: 221.33, 7: 818.67, 8: 1303.17, 9: 998.33, 10: 692.67, 11: 633.0, 12: 735.33, 13: 800.5, 14: 790.33, 15: 771.17, 16: 651.17, 17: 847.83, 18: 1073.33, 19: 933.5, 20: 713.0, 21: 499.5, 22: 272.0, 23: 111.0}","{'2024-10': 15328, '2024-11': 13134, '2024-12': 11430, '2025-1': 12529, '2025-2': 12520, '2025-3': 12784}",2744.17,2571.33
20,"{'M': 7568.33, 'F': 3123.84, 'O': 177.84}","{'<20': 117.33, '20-30': 4166.67, '30-40': 4233.67, '40-50': 1459.17, '50-60': 668.67, '60-70': 194.0, '70<': 30.5}","{'0-10': 4338.33, '10-20': 3537.0, '20-30': 1529.17, '30-45': 1178.33, '45+': 287.17}","{'Monday': 1430.83, 'Tuesday': 1733.17, 'Wednesday': 1663.17, 'Thursday': 1722.5, 'Friday': 1528.83, 'Saturday': 1065.0, 'Sunday': 1726.5}","{0: 41.83, 1: 1.17, 2: 0.0, 3: 0.0, 4: 0.0, 5: 39.67, 6: 161.33, 7: 595.83, 8: 1467.17, 9: 907.17, 10: 718.83, 11: 578.5, 12: 606.83, 13: 712.67, 14: 623.17, 15: 590.5, 16: 589.33, 17: 626.5, 18: 730.5, 19: 643.17, 20: 481.83, 21: 390.0, 22: 246.17, 23: 117.83}","{'2024-10': 13278, '2024-11': 11970, '2024-12': 10726, '2025-1': 10383, '2025-2': 9531, '2025-3': 9332}",6768.67,7445.83
21,"{'M': 4285.5, 'F': 1808.84, 'O': 103.16}","{'<20': 66.33, '20-30': 2446.83, '30-40': 2461.0, '40-50': 835.83, '50-60': 305.17, '60-70': 66.83, '70<': 15.5}","{'0-10': 1312.33, '10-20': 2620.5, '20-30': 1204.5, '30-45': 863.17, '45+': 197.0}","{'Monday': 780.5, 'Tuesday': 919.83, 'Wednesday': 1007.17, 'Thursday': 1001.67, 'Friday': 853.0, 'Saturday': 649.5, 'Sunday': 985.83}","{0: 16.5, 1: 0.67, 2: 0.17, 3: 0.17, 4: 0.0, 5: 13.83, 6: 78.0, 7: 173.67, 8: 436.67, 9: 270.67, 10: 256.83, 11: 263.5, 12: 321.5, 13: 335.5, 14: 382.67, 15: 425.0, 16: 416.67, 17: 636.33, 18: 702.33, 19: 540.67, 20: 464.17, 21: 247.0, 22: 139.33, 23: 75.67}","{'2024-10': 7125, '2024-11': 6343, '2024-12': 5766, '2025-1': 5931, '2025-2': 5892, '2025-3': 6128}",1219.83,1263.33
22,"{'M': 3951.83, 'F': 1664.5, 'O': 124.83}","{'<20': 78.0, '20-30': 2279.67, '30-40': 2145.83, '40-50': 814.83, '50-60': 350.33, '60-70': 61.17, '70<': 11.33}","{'0-10': 1194.0, '10-20': 2566.33, '20-30': 1058.33, '30-45': 742.83, '45+': 179.67}","{'Monday': 727.17, 'Tuesday': 959.83, 'Wednesday': 998.33, 'Thursday': 921.0, 'Friday': 792.0, 'Saturday': 476.17, 'Sunday': 866.67}","{0: 14.5, 1: 0.0, 2: 0.33, 3: 0.0, 4: 0.0, 5: 14.17, 6: 46.83, 7: 197.17, 8: 555.17, 9: 353.17, 10: 271.17, 11: 263.5, 12: 305.0, 13: 352.5, 14: 386.83, 15: 420.67, 16: 317.67, 17: 478.0, 18: 515.83, 19: 428.17, 20: 395.0, 21: 211.0, 22: 147.5, 23: 67.0}","{'2024-10': 6849, '2024-11': 6499, '2024-12': 4333, '2025-1': 5720, '2025-2': 5900, '2025-3': 5146}",1811.17,1785.67
23,"{'M': 5557.5, 'F': 2303.83, 'O': 108.67}","{'<20': 94.5, '20-30': 3139.17, '30-40': 3121.33, '40-50': 1095.5, '50-60': 388.33, '60-70': 104.5, '70<': 26.67}","{'0-10': 2078.83, '10-20': 3235.5, '20-30': 1361.17, '30-45': 1022.5, '45+': 272.0}","{'Monday': 969.33, 'Tuesday': 1138.67, 'Wednesday': 1132.67, 'Thursday': 1181.17, 'Friday': 1111.5, 'Saturday': 828.33, 'Sunday': 1608.33}","{0: 28.83, 1: 0.83, 2: 0.0, 3: 0.17, 4: 0.0, 5: 26.17, 6: 124.0, 7: 474.5, 8: 649.67, 9: 590.33, 10: 503.83, 11: 523.5, 12: 554.5, 13: 648.83, 14: 650.17, 15: 589.17, 16: 510.83, 17: 430.5, 18: 401.17, 19: 370.67, 20: 313.33, 21: 283.5, 22: 205.5, 23: 90.0}","{'2024-10': 9177, '2024-11': 8137, '2024-12': 7002, '2025-1': 7703, '2025-2': 7785, '2025-3': 8016}",2510.67,2704.33
24,"{'M': 5111.5, 'F': 2239.33, 'O': 153.33}","{'<20': 81.83, '20-30': 3032.33, '30-40': 2907.67, '40-50': 987.17, '50-60': 365.5, '60-70': 114.67, '70<': 15.0}","{'0-10': 1836.17, '10-20': 3161.0, '20-30': 1321.0, '30-45': 917.33, '45+': 268.67}","{'Monday': 966.33, 'Tuesday': 1060.83, 'Wednesday': 1080.5, 'Thursday': 1128.83, 'Friday': 1056.83, 'Saturday': 905.5, 'Sunday': 1305.33}","{0: 44.67, 1: 0.67, 2: 0.0, 3: 0.17, 4: 0.0, 5: 35.17, 6: 134.33, 7: 322.17, 8: 353.5, 9: 316.83, 10: 387.83, 11: 467.83, 12: 483.67, 13: 550.33, 14: 613.0, 15: 519.83, 16: 426.0, 17: 569.67, 18: 603.0, 19: 494.17, 20: 439.33, 21: 355.17, 22: 232.0, 23: 154.83}","{'2024-10': 8934, '2024-11': 7924, '2024-12': 5828, '2025-1': 7013, '2025-2': 7338, '2025-3': 7988}",3215.5,2856.17
25,"{'M': 5762.5, 'F': 2653.83, 'O': 128.83}","{'<20': 92.83, '20-30': 3499.67, '30-40': 3293.0, '40-50': 1115.33, '50-60': 418.33, '60-70': 113.0, '70<': 13.0}","{'0-10': 1851.5, '10-20': 3387.5, '20-30': 1635.0, '30-45': 1287.33, '45+': 383.83}","{'Monday': 1001.67, 'Tuesday': 1008.0, 'Wednesday': 1051.0, 'Thursday': 1140.5, 'Friday': 1212.5, 'Saturday': 1241.0, 'Sunday': 1890.5}","{0: 41.67, 1: 0.83, 2: 0.0, 3: 0.0, 4: 0.0, 5: 26.33, 6: 97.33, 7: 402.67, 8: 403.33, 9: 364.33, 10: 467.5, 11: 559.17, 12: 612.17, 13: 642.83, 14: 639.33, 15: 669.83, 16: 652.33, 17: 640.67, 18: 611.33, 19: 471.0, 20: 418.33, 21: 397.5, 22: 277.83, 23: 148.83}","{'2024-10': 9624, '2024-11': 8898, '2024-12': 6288, '2025-1': 8067, '2025-2': 8784, '2025-3': 9610}",1165.17,1064.83
26,"{'M': 5099.33, 'F': 2374.17, 'O': 179.34}","{'<20': 77.33, '20-30': 2768.5, '30-40': 2814.17, '40-50': 1220.0, '50-60': 568.17, '60-70': 180.5, '70<': 24.17}","{'0-10': 3073.67, '10-20': 2388.5, '20-30': 1086.0, '30-45': 914.5, '45+': 190.17}","{'Monday': 938.33, 'Tuesday': 1149.67, 'Wednesday': 1132.0, 'Thursday': 1226.67, 'Friday': 1151.83, 'Saturday': 957.83, 'Sunday': 1096.5}","{0: 33.33, 1: 0.33, 2: 0.0, 3: 0.17, 4: 0.0, 5: 58.83, 6: 124.17, 7: 305.67, 8: 478.17, 9: 451.67, 10: 374.5, 11: 413.17, 12: 508.33, 13: 546.83, 14: 513.67, 15: 581.67, 16: 516.83, 17: 508.67, 18: 614.17, 19: 587.83, 20: 387.17, 21: 316.0, 22: 219.17, 23: 112.5}","{'2024-10': 9189, '2024-11': 8078, '2024-12': 7070, '2025-1': 7243, '2025-2': 7139, '2025-3': 7198}",,
